0,1,2,3,target
2,17,0,1,
0,30,0,0,
0,21,1,1,
0,30,1,0,
4,22,0,0,
0,27,1,1,
2,18,1,1,
4,9,0,0,
2,27,1,1,
0,12,1,0,
1,27,0,0,
3,22,1,1,
1,26,0,2,
2,20,0,0,
0,11,0,1,
1,25,0,0,
3,23,0,1,
3,28,0,0,
1,18,1,1,
4,25,1,1,
0,24,1,2,
4,18,0,1,
3,10,0,0,
0,10,0,0,
4,27,1,2,
3,8,0,1,
4,23,0,1,
0,17,0,2,
0,16,0,1,
2,15,0,2,
2,27,0,2,
0,20,1,0,
4,12,1,0,
0,20,0,0,
0,23,0,2,
3,26,1,1,
2,18,1,2,
0,12,0,1,
1,10,0,2,
2,26,1,1,
1,16,0,0,
0,4,0,2,lime juice
2,23,0,2,
3,22,0,2,
2,26,0,2,
3,13,0,1,
1,22,0,0,
0,19,0,1,
0,25,1,2,
0,6,1,2,lime juice
1,14,1,2,
2,26,0,1,
4,21,0,1,
1,16,0,1,
3,23,1,0,
3,21,1,2,
3,29,0,1,
2,8,0,2,
3,28,0,1,
0,17,1,1,
3,19,0,2,
0,12,1,1,
2,9,0,1,
2,11,1,1,
2,8,0,0,
0,6,1,1,promegranate drink
4,8,0,2,
0,27,1,2,
0,16,1,0,
2,10,0,0,
4,25,1,2,
0,25,0,2,
4,15,1,0,
1,19,0,2,
2,20,1,1,
2,29,1,1,
4,26,1,2,
1,20,1,2,
1,28,1,1,
2,13,1,0,
2,21,1,2,
0,29,1,1,
1,16,0,2,
3,18,0,1,
4,12,0,2,
1,24,0,1,
2,17,1,1,
1,14,0,2,
0,30,1,2,
1,10,1,1,
2,30,0,0,
0,8,1,1,
0,11,0,0,
1,20,1,1,
3,27,0,1,
0,15,1,0,
2,24,0,2,
2,30,1,2,
1,20,0,0,
0,13,1,1,
1,24,1,1,
1,21,1,1,
0,19,0,0,
0,25,1,0,
3,25,1,1,
0,23,1,2,
2,12,0,1,
1,25,1,0,
3,24,1,2,
1,31,1,2,
3,20,1,2,
2,17,1,0,
0,25,1,1,
0,10,1,1,
3,9,1,2,
2,12,1,0,
2,23,0,1,
4,26,1,1,
2,10,0,1,
2,21,0,2,
2,11,0,2,
4,13,1,2,
1,11,0,2,
4,28,0,0,
3,31,0,2,
2,19,0,2,
0,18,0,0,
1,25,0,2,
3,12,1,2,
3,27,1,2,
0,7,1,1,promegranate drink
4,16,1,2,
3,26,0,0,
4,15,1,2,
1,30,0,2,
3,9,0,2,
3,15,1,2,
0,29,0,0,
4,27,0,2,
3,14,1,1,
2,24,0,0,
0,16,0,2,
2,21,0,1,
0,5,1,1,promegranate drink
4,31,0,1,
4,31,1,0,
2,14,0,1,
3,19,0,0,
1,9,1,0,
1,31,1,0,
0,14,0,1,
1,8,1,1,laxative
1,13,1,1,
1,15,1,1,
3,17,1,2,
1,15,1,2,
0,27,0,2,
0,25,0,0,
3,18,0,2,
0,16,0,0,
3,30,1,1,
1,28,0,0,
2,25,0,0,
4,21,1,1,
4,10,0,2,
4,14,0,2,
1,16,1,1,
2,18,0,1,
1,17,0,1,
3,23,1,1,
1,11,1,0,
4,11,1,1,
2,12,0,2,
0,31,1,0,
0,26,0,2,
2,8,1,0,
4,24,1,0,
2,20,1,2,
4,19,0,0,
1,22,1,0,
3,14,1,0,
2,15,1,1,
0,14,1,2,
2,15,1,0,
2,19,1,2,
2,23,1,1,
2,25,1,0,
1,31,1,1,
0,30,0,1,
1,19,0,1,
2,15,0,0,
4,11,0,0,
1,21,1,0,
4,28,1,1,
0,12,0,2,
2,30,0,2,
4,27,1,0,
2,27,0,1,
3,15,0,1,
3,10,1,1,
4,24,0,0,
4,17,1,1,
3,30,1,2,
0,9,1,0,
2,23,1,0,
1,22,0,1,
2,10,0,2,
3,30,0,2,
1,30,1,1,
3,19,0,1,
3,8,0,0,
0,18,1,0,
2,28,1,1,
2,10,1,1,
2,11,0,1,
0,27,0,1,
0,4,1,2,lime juice
0,28,0,0,
4,8,1,2,
3,10,0,1,
2,17,0,2,
0,9,0,0,
2,13,1,1,
2,22,0,0,
1,13,0,1,
4,21,1,2,
1,15,1,0,
0,26,1,1,
1,26,1,0,
3,25,0,1,
4,10,0,1,
3,17,1,0,
0,19,1,0,
2,28,1,2,
2,11,1,2,
4,21,0,2,
3,31,1,1,
2,22,1,2,
1,21,0,2,
0,17,0,1,
1,20,1,0,
0,6,0,1,promegranate drink
2,28,1,0,
1,22,1,1,
3,12,0,0,
0,31,0,1,
2,30,1,0,
0,31,1,2,
3,15,0,2,
3,11,1,0,
0,28,0,2,
3,22,1,2,
1,27,1,2,
2,17,0,0,
1,21,0,0,
3,12,1,1,
4,14,1,1,
0,7,0,1,promegranate drink
4,30,0,2,
0,22,0,0,
3,9,1,0,
0,21,1,0,
3,14,0,2,
0,18,0,2,
1,22,0,2,
0,11,1,2,
1,20,0,2,
3,13,1,0,
3,31,1,0,
0,13,1,2,
3,16,0,0,
1,21,1,2,
0,24,1,1,
4,11,0,2,
1,12,1,1,
0,29,0,1,
1,9,0,1,
0,14,1,0,
3,11,1,2,
4,16,1,1,
2,16,1,2,
4,16,0,0,
0,18,1,1,
1,16,1,0,
4,13,0,0,
0,10,0,1,
3,17,0,0,
4,22,1,0,
2,31,1,1,
1,26,1,1,
3,15,0,0,
1,15,0,2,
4,18,1,0,
2,22,0,2,
0,22,0,1,
0,12,0,0,
1,13,1,2,
4,12,1,1,
4,14,1,0,
1,24,0,2,
2,13,0,2,
3,18,1,0,
3,28,1,2,
4,29,1,0,
1,10,0,0,
3,27,1,1,
4,29,0,0,
1,15,0,0,
4,29,0,2,
0,10,1,0,
1,17,0,2,
3,22,1,0,
2,30,0,1,
3,9,1,1,
4,20,0,1,
1,31,0,2,
0,31,0,2,
0,15,1,2,
1,24,0,0,
4,23,1,1,
4,16,0,1,
0,8,0,2,
3,11,1,1,
3,8,1,0,
4,14,0,1,
1,13,0,0,
0,24,1,0,
4,8,0,0,
1,11,0,0,
1,12,1,0,
3,18,0,0,
0,14,1,1,
3,8,0,2,
1,17,1,2,
4,9,1,1,
1,29,1,2,
3,29,0,0,
1,9,1,1,
3,31,0,0,
2,25,1,2,
4,23,1,2,
2,25,0,1,
4,9,0,2,
3,21,1,1,
3,20,1,0,
1,29,0,1,
3,18,1,2,
4,22,0,1,
4,26,0,1,
3,15,1,0,
1,26,1,2,
0,22,1,1,
2,21,1,1,
1,29,1,0,
4,17,0,2,
4,29,0,1,
2,14,0,0,
2,28,0,2,
4,17,1,0,
1,8,0,1,laxative
3,21,0,0,
4,18,1,1,
1,14,0,0,
3,22,0,0,
1,12,1,2,
4,25,1,0,
4,14,0,0,
1,31,0,0,
4,30,1,2,
1,30,1,0,
4,24,1,1,
3,27,0,2,
1,15,0,1,
0,20,0,1,
3,26,0,2,
1,18,1,2,
4,13,0,2,
3,28,0,2,
4,28,1,0,
2,23,1,2,
2,16,0,2,
1,8,0,2,gulachyadi kashayam
1,13,0,2,
0,20,1,2,
1,30,0,0,
4,26,1,0,
4,13,1,0,
4,18,1,2,
1,14,1,1,
1,23,0,2,
1,28,1,2,
4,16,1,0,
0,23,1,1,
0,11,1,0,
